Date,Temp
08.05.2024,12
09.05.2024,12
10.05.2024,13
11.05.2024,13
12.05.2024,14
13.05.2024,14
14.05.2024,15
15.05.2024,15
16.05.2024,15
17.05.2024,15
18.05.2024,15
19.05.2024,15
20.05.2024,15
21.05.2024,15
22.05.2024,15
23.05.2024,15
24.05.2024,15
25.05.2024,15
26.05.2024,15
27.05.2024,15
28.05.2024,15
29.05.2024,15
30.05.2024,15
31.05.2024,15
01.06.2024,15
02.06.2024,15
03.06.2024,14
04.06.2024,14
05.06.2024,15
06.06.2024,15
07.06.2024,15
08.06.2024,15
09.06.2024,15
10.06.2024,15
11.06.2024,16
12.06.2024,16
13.06.2024,16
14.06.2024,16
15.06.2024,16
16.06.2024,16
17.06.2024,17
18.06.2024,17
19.06.2024,17
20.06.2024,18
21.06.2024,18
22.06.2024,18
